"","tpr","fpr","tdr","shd","method","is_directed","subj","sim"
"417",1,0,1,0,"ges","undirected",18,1
"517",0.8,0.2,0.5,4,"ges","directed",18,1
"617",0,0,NA,5,"arges","undirected",18,1
"717",0,0,NA,5,"arges","directed",18,1
"218",1,0,1,0,"pc","undirected",19,1
"318",0.8,0.05,0.8,1,"pc","directed",19,1
"418",1,0,1,0,"ges","undirected",19,1
"518",0.8,0.1,0.666666666666667,2,"ges","directed",19,1
"618",0,0,NA,5,"arges","undirected",19,1
"718",0,0,NA,5,"arges","directed",19,1
"219",1,0.133333333333333,0.833333333333333,1,"pc","undirected",20,1
"319",1,0.15,0.625,3,"pc","directed",20,1
"419",1,0.133333333333333,0.833333333333333,1,"ges","undirected",20,1
"519",0.8,0.25,0.444444444444444,5,"ges","directed",20,1
"619",0.2,0,1,4,"arges","undirected",20,1
"719",0.2,0.05,0.5,5,"arges","directed",20,1
"220",1,0.133333333333333,0.833333333333333,1,"pc","undirected",21,1
"320",0.8,0.1,0.666666666666667,2,"pc","directed",21,1
"420",1,0.133333333333333,0.833333333333333,1,"ges","undirected",21,1
"520",0.8,0.1,0.666666666666667,2,"ges","directed",21,1
"620",0,0,NA,5,"arges","undirected",21,1
"720",0,0,NA,5,"arges","directed",21,1
"221",0.6,0.133333333333333,0.75,3,"pc","undirected",22,1
"321",0.6,0.1,0.6,4,"pc","directed",22,1
"421",0.6,0.133333333333333,0.75,3,"ges","undirected",22,1
"521",0.6,0.05,0.75,3,"ges","directed",22,1
"621",0,0,NA,5,"arges","undirected",22,1
"721",0,0,NA,5,"arges","directed",22,1
"222",1,0,1,0,"pc","undirected",23,1
"322",0.8,0.1,0.666666666666667,2,"pc","directed",23,1
"422",1,0,1,0,"ges","undirected",23,1
"522",0.8,0.2,0.5,4,"ges","directed",23,1
"622",0.2,0,1,4,"arges","undirected",23,1
"722",0.2,0.05,0.5,5,"arges","directed",23,1
"223",1,0.133333333333333,0.833333333333333,1,"pc","undirected",24,1
"323",1,0.05,0.833333333333333,1,"pc","directed",24,1
"423",0.8,0,1,1,"ges","undirected",24,1
"523",0.8,0.1,0.666666666666667,3,"ges","directed",24,1
"623",0,0,NA,5,"arges","undirected",24,1
"723",0,0,NA,5,"arges","directed",24,1
"224",1,0,1,0,"pc","undirected",25,1
"324",1,0,1,0,"pc","directed",25,1
"424",0.8,0,1,1,"ges","undirected",25,1
"524",0.8,0.2,0.5,5,"ges","directed",25,1
"624",0,0,NA,5,"arges","undirected",25,1
"724",0,0,NA,5,"arges","directed",25,1
"225",0.8,0,1,1,"pc","undirected",26,1
"325",0.6,0.15,0.5,4,"pc","directed",26,1
"425",0.8,0,1,1,"ges","undirected",26,1
"525",0.8,0.2,0.5,5,"ges","directed",26,1
"625",0,0,NA,5,"arges","undirected",26,1
