"","tpr","fpr","tdr","shd","method","is_directed","subj","sim"
"477",0.8,0.266666666666667,0.666666666666667,3,"ges","undirected",8,8
"577",0.6,0.25,0.375,6,"ges","directed",8,8
"677",0,0,NA,5,"arges","undirected",8,8
"777",0,0,NA,5,"arges","directed",8,8
"287",0.6,0.133333333333333,0.75,3,"pc","undirected",9,8
"387",0.6,0.15,0.5,4,"pc","directed",9,8
"487",0.6,0.133333333333333,0.75,3,"ges","undirected",9,8
"587",0.6,0.25,0.375,6,"ges","directed",9,8
"687",0.2,0,1,4,"arges","undirected",9,8
"787",0.2,0.05,0.5,5,"arges","directed",9,8
"297",0.8,0.133333333333333,0.8,2,"pc","undirected",10,8
"397",0.6,0.1,0.6,3,"pc","directed",10,8
"497",0.8,0.133333333333333,0.8,2,"ges","undirected",10,8
"597",0.6,0.15,0.5,4,"ges","directed",10,8
"697",0,0,NA,5,"arges","undirected",10,8
"797",0,0,NA,5,"arges","directed",10,8
"2107",1,0,1,0,"pc","undirected",11,8
"3107",0.6,0.25,0.375,5,"pc","directed",11,8
"4107",1,0,1,0,"ges","undirected",11,8
"5107",0.8,0.2,0.5,4,"ges","directed",11,8
"6107",0,0,NA,5,"arges","undirected",11,8
"7107",0,0,NA,5,"arges","directed",11,8
"21111",1,0.266666666666667,0.714285714285714,2,"pc","undirected",12,8
"31111",1,0.2,0.555555555555556,4,"pc","directed",12,8
"41111",0.8,0.266666666666667,0.666666666666667,3,"ges","undirected",12,8
"51111",0.8,0.3,0.4,5,"ges","directed",12,8
"61111",0.2,0,1,4,"arges","undirected",12,8
"71111",0.2,0.05,0.5,5,"arges","directed",12,8
"2128",0.8,0.133333333333333,0.8,2,"pc","undirected",13,8
"3128",0.4,0.15,0.4,4,"pc","directed",13,8
"4128",0.6,0.133333333333333,0.75,3,"ges","undirected",13,8
"5128",0.6,0.25,0.375,6,"ges","directed",13,8
"6128",0.2,0,1,4,"arges","undirected",13,8
"7128",0.2,0.05,0.5,5,"arges","directed",13,8
"2137",1,0.133333333333333,0.833333333333333,1,"pc","undirected",14,8
"3137",1,0.35,0.416666666666667,6,"pc","directed",14,8
"4137",1,0.133333333333333,0.833333333333333,1,"ges","undirected",14,8
"5137",0.6,0.25,0.375,5,"ges","directed",14,8
"6137",0,0,NA,5,"arges","undirected",14,8
"7137",0,0,NA,5,"arges","directed",14,8
"2147",1,0.4,0.625,3,"pc","undirected",15,8
"3147",0.4,0.3,0.25,6,"pc","directed",15,8
"4147",1,0.266666666666667,0.714285714285714,2,"ges","undirected",15,8
"5147",0.8,0.35,0.363636363636364,6,"ges","directed",15,8
"6147",0,0,NA,5,"arges","undirected",15,8
"7147",0,0,NA,5,"arges","directed",15,8
"2157",0.8,0.4,0.571428571428571,4,"pc","undirected",16,8
"3157",0.8,0.3,0.4,6,"pc","directed",16,8
"4157",0.6,0.266666666666667,0.6,4,"ges","undirected",16,8
"5157",0.6,0.35,0.3,7,"ges","directed",16,8
"6157",0.4,0.266666666666667,0.5,5,"arges","undirected",16,8
"7157",0.4,0.3,0.25,7,"arges","directed",16,8
"2167",1,0.133333333333333,0.833333333333333,1,"pc","undirected",17,8
"3167",0.4,0.2,0.333333333333333,4,"pc","directed",17,8
"4167",1,0.266666666666667,0.714285714285714,2,"ges","undirected",17,8
"5167",1,0.2,0.555555555555556,4,"ges","directed",17,8
"6167",0,0,NA,5,"arges","undirected",17,8
"7167",0,0,NA,5,"arges","directed",17,8
"2177",0.8,0.133333333333333,0.8,2,"pc","undirected",18,8
"3177",0.8,0.15,0.571428571428571,4,"pc","directed",18,8
"4177",0.8,0.133333333333333,0.8,2,"ges","undirected",18,8
"5177",0.6,0.25,0.375,5,"ges","directed",18,8
"6177",0,0,NA,5,"arges","undirected",18,8
"7177",0,0,NA,5,"arges","directed",18,8
"2187",0.8,0.133333333333333,0.8,2,"pc","undirected",19,8
"3187",0.8,0.1,0.666666666666667,3,"pc","directed",19,8
"4187",0.8,0.133333333333333,0.8,2,"ges","undirected",19,8
"5187",0.6,0.25,0.375,5,"ges","directed",19,8
"6187",0,0,NA,5,"arges","undirected",19,8
"7187",0,0,NA,5,"arges","directed",19,8
"2197",1,0,1,0,"pc","undirected",20,8
"3197",0.6,0.25,0.375,5,"pc","directed",20,8
"4197",0.8,0.133333333333333,0.8,2,"ges","undirected",20,8
"5197",0.8,0.15,0.571428571428571,4,"ges","directed",20,8
"6197",0.8,0,1,1,"arges","undirected",20,8
"7197",0.8,0.2,0.5,5,"arges","directed",20,8
"2207",1,0.133333333333333,0.833333333333333,1,"pc","undirected",21,8
"3207",0.8,0.1,0.666666666666667,2,"pc","directed",21,8
"4207",1,0.133333333333333,0.833333333333333,1,"ges","undirected",21,8
"5207",0.8,0.15,0.571428571428571,3,"ges","directed",21,8
"6207",0,0,NA,5,"arges","undirected",21,8
"7207",0,0,NA,5,"arges","directed",21,8
"22111",0.8,0.133333333333333,0.8,2,"pc","undirected",22,8
"32111",0.8,0.15,0.571428571428571,4,"pc","directed",22,8
"42111",0.8,0.266666666666667,0.666666666666667,3,"ges","undirected",22,8
"52111",0.6,0.15,0.5,4,"ges","directed",22,8
"62111",0,0,NA,5,"arges","undirected",22,8
"72111",0,0,NA,5,"arges","directed",22,8
"2228",0.8,0,1,1,"pc","undirected",23,8
"3228",0.6,0.05,0.75,2,"pc","directed",23,8
"4228",0.8,0,1,1,"ges","undirected",23,8
"5228",0.6,0.05,0.75,2,"ges","directed",23,8
"6228",0.2,0,1,4,"arges","undirected",23,8
"7228",0.2,0.05,0.5,5,"arges","directed",23,8
"2237",1,0,1,0,"pc","undirected",24,8
"3237",0.8,0.05,0.8,1,"pc","directed",24,8
"4237",1,0,1,0,"ges","undirected",24,8
"5237",1,0.15,0.625,3,"ges","directed",24,8
"6237",0,0,NA,5,"arges","undirected",24,8
"7237",0,0,NA,5,"arges","directed",24,8
"2247",0.6,0.133333333333333,0.75,3,"pc","undirected",25,8
"3247",0.4,0.15,0.4,5,"pc","directed",25,8
"4247",0.6,0.133333333333333,0.75,3,"ges","undirected",25,8
"5247",0.6,0.25,0.375,6,"ges","directed",25,8
"6247",0,0,NA,5,"arges","undirected",25,8
"7247",0,0,NA,5,"arges","directed",25,8
"2257",0.8,0.4,0.571428571428571,4,"pc","undirected",26,8
"3257",0.8,0.5,0.285714285714286,8,"pc","directed",26,8
"4257",1,0.4,0.625,3,"ges","undirected",26,8
"5257",1,0.55,0.3125,8,"ges","directed",26,8
"6257",0.6,0.4,0.5,5,"arges","undirected",26,8
"7257",0.6,0.45,0.25,8,"arges","directed",26,8
"2267",1,0.266666666666667,0.714285714285714,2,"pc","undirected",27,8
"3267",0.8,0.2,0.5,3,"pc","directed",27,8
"4267",1,0,1,0,"ges","undirected",27,8
"5267",0.6,0.25,0.375,5,"ges","directed",27,8
"6267",0.2,0,1,4,"arges","undirected",27,8
"7267",0.2,0.05,0.5,5,"arges","directed",27,8
"2277",1,0,1,0,"pc","undirected",28,8
"3277",1,0.05,0.833333333333333,1,"pc","directed",28,8
"4277",0.8,0,1,1,"ges","undirected",28,8
"5277",0.8,0.2,0.5,5,"ges","directed",28,8
"6277",0,0,NA,5,"arges","undirected",28,8
"7277",0,0,NA,5,"arges","directed",28,8
"2287",1,0,1,0,"pc","undirected",29,8
"3287",1,0.25,0.5,5,"pc","directed",29,8
"4287",1,0.133333333333333,0.833333333333333,1,"ges","undirected",29,8
"5287",0.8,0.3,0.4,5,"ges","directed",29,8
"6287",0.2,0,1,4,"arges","undirected",29,8
"7287",0.2,0.05,0.5,5,"arges","directed",29,8
"2297",1,0.266666666666667,0.714285714285714,2,"pc","undirected",30,8
"3297",0.6,0.2,0.428571428571429,4,"pc","directed",30,8
"4297",1,0.133333333333333,0.833333333333333,1,"ges","undirected",30,8
"5297",0.4,0.2,0.333333333333333,4,"ges","directed",30,8
"6297",0.2,0,1,4,"arges","undirected",30,8
"7297",0.2,0.05,0.5,5,"arges","directed",30,8
"2307",1,0.133333333333333,0.833333333333333,1,"pc","undirected",31,8
"3307",1,0.05,0.833333333333333,1,"pc","directed",31,8
"4307",1,0.266666666666667,0.714285714285714,2,"ges","undirected",31,8
"5307",1,0.3,0.454545454545455,5,"ges","directed",31,8
"6307",0,0,NA,5,"arges","undirected",31,8
"7307",0,0,NA,5,"arges","directed",31,8
"23111",0.8,0.133333333333333,0.8,2,"pc","undirected",32,8
"33111",0.8,0.15,0.571428571428571,4,"pc","directed",32,8
"43111",0.8,0.4,0.571428571428571,4,"ges","undirected",32,8
"53111",0.6,0.3,0.333333333333333,7,"ges","directed",32,8
"63111",0.2,0,1,4,"arges","undirected",32,8
"73111",0.2,0.05,0.5,5,"arges","directed",32,8
"2328",0.8,0.133333333333333,0.8,2,"pc","undirected",33,8
"3328",0.6,0.25,0.375,5,"pc","directed",33,8
"4328",0.8,0.133333333333333,0.8,2,"ges","undirected",33,8
"5328",0.6,0.25,0.375,5,"ges","directed",33,8
"6328",0.8,0.133333333333333,0.8,2,"arges","undirected",33,8
"7328",0.6,0.25,0.375,5,"arges","directed",33,8
"2337",0.6,0.133333333333333,0.75,3,"pc","undirected",34,8
"3337",0.4,0.15,0.4,5,"pc","directed",34,8
"4337",0.6,0.133333333333333,0.75,3,"ges","undirected",34,8
"5337",0.6,0.25,0.375,6,"ges","directed",34,8
"6337",0.2,0,1,4,"arges","undirected",34,8
"7337",0.2,0.05,0.5,5,"arges","directed",34,8
"2347",0.8,0.133333333333333,0.8,2,"pc","undirected",35,8
"3347",0.6,0.15,0.5,4,"pc","directed",35,8
"4347",1,0,1,0,"ges","undirected",35,8
"5347",0.8,0.1,0.666666666666667,2,"ges","directed",35,8
"6347",0,0,NA,5,"arges","undirected",35,8
"7347",0,0,NA,5,"arges","directed",35,8
"2357",1,0,1,0,"pc","undirected",36,8
"3357",1,0.15,0.625,3,"pc","directed",36,8
"4357",1,0,1,0,"ges","undirected",36,8
"5357",0.8,0.2,0.5,4,"ges","directed",36,8
"6357",0.2,0,1,4,"arges","undirected",36,8
"7357",0.2,0.05,0.5,5,"arges","directed",36,8
"2367",1,0.266666666666667,0.714285714285714,2,"pc","undirected",37,8
"3367",0.8,0.3,0.4,6,"pc","directed",37,8
"4367",1,0.133333333333333,0.833333333333333,1,"ges","undirected",37,8
"5367",0.8,0.2,0.5,4,"ges","directed",37,8
"6367",0,0,NA,5,"arges","undirected",37,8
"7367",0,0,NA,5,"arges","directed",37,8
"2377",1,0.133333333333333,0.833333333333333,1,"pc","undirected",38,8
"3377",0.8,0.3,0.4,5,"pc","directed",38,8
"4377",1,0.133333333333333,0.833333333333333,1,"ges","undirected",38,8
"5377",0.8,0.3,0.4,5,"ges","directed",38,8
"6377",0.6,0,1,2,"arges","undirected",38,8
"7377",0.6,0.15,0.5,5,"arges","directed",38,8
"2387",0.8,0.4,0.571428571428571,4,"pc","undirected",39,8
"3387",0.6,0.2,0.428571428571429,5,"pc","directed",39,8
"4387",0.8,0.4,0.571428571428571,4,"ges","undirected",39,8
"5387",0.6,0.45,0.25,8,"ges","directed",39,8
"6387",0,0,NA,5,"arges","undirected",39,8
"7387",0,0,NA,5,"arges","directed",39,8
"2397",1,0.133333333333333,0.833333333333333,1,"pc","undirected",40,8
"3397",1,0.2,0.555555555555556,4,"pc","directed",40,8
"4397",0.8,0.133333333333333,0.8,2,"ges","undirected",40,8
"5397",0.6,0.25,0.375,5,"ges","directed",40,8
"6397",0,0,NA,5,"arges","undirected",40,8
"7397",0,0,NA,5,"arges","directed",40,8
"2407",0.8,0.533333333333333,0.5,5,"pc","undirected",41,8
"3407",0.8,0.4,0.333333333333333,7,"pc","directed",41,8
"4407",0.6,0.4,0.5,5,"ges","undirected",41,8
"5407",0.6,0.45,0.25,8,"ges","directed",41,8
"6407",0.4,0.133333333333333,0.666666666666667,4,"arges","undirected",41,8
"7407",0.4,0.2,0.333333333333333,6,"arges","directed",41,8
"24111",0.8,0.133333333333333,0.8,2,"pc","undirected",42,8
"34111",0.4,0.2,0.333333333333333,5,"pc","directed",42,8
"44111",1,0.133333333333333,0.833333333333333,1,"ges","undirected",42,8
"54111",0.8,0.25,0.444444444444444,5,"ges","directed",42,8
"64111",0,0,NA,5,"arges","undirected",42,8
"74111",0,0,NA,5,"arges","directed",42,8
"2428",0.8,0.4,0.571428571428571,4,"pc","undirected",43,8
"3428",0.6,0.25,0.375,6,"pc","directed",43,8
"4428",0.6,0.4,0.5,5,"ges","undirected",43,8
"5428",0.4,0.3,0.25,7,"ges","directed",43,8
"6428",0,0,NA,5,"arges","undirected",43,8
"7428",0,0,NA,5,"arges","directed",43,8
"2437",1,0.266666666666667,0.714285714285714,2,"pc","undirected",44,8
"3437",0.8,0.15,0.571428571428571,3,"pc","directed",44,8
"4437",1,0.266666666666667,0.714285714285714,2,"ges","undirected",44,8
"5437",0.8,0.4,0.333333333333333,6,"ges","directed",44,8
"6437",0.6,0.133333333333333,0.75,3,"arges","undirected",44,8
"7437",0.6,0.25,0.375,6,"arges","directed",44,8
"2447",1,0.133333333333333,0.833333333333333,1,"pc","undirected",45,8
"3447",0.8,0.15,0.571428571428571,3,"pc","directed",45,8
"4447",1,0.4,0.625,3,"ges","undirected",45,8
"5447",0.6,0.45,0.25,8,"ges","directed",45,8
"6447",0.6,0.133333333333333,0.75,3,"arges","undirected",45,8
"7447",0.6,0.25,0.375,6,"arges","directed",45,8
"2457",0.8,0,1,1,"pc","undirected",46,8
"3457",0.8,0.1,0.666666666666667,3,"pc","directed",46,8
"4457",0.6,0.133333333333333,0.75,3,"ges","undirected",46,8
"5457",0.6,0.1,0.6,4,"ges","directed",46,8
"6457",0,0,NA,5,"arges","undirected",46,8
"7457",0,0,NA,5,"arges","directed",46,8
"2467",1,0.266666666666667,0.714285714285714,2,"pc","undirected",47,8
"3467",1,0.15,0.625,3,"pc","directed",47,8
"4467",1,0.266666666666667,0.714285714285714,2,"ges","undirected",47,8
"5467",0.8,0.15,0.571428571428571,3,"ges","directed",47,8
"6467",0,0,NA,5,"arges","undirected",47,8
"7467",0,0,NA,5,"arges","directed",47,8
"2477",1,0,1,0,"pc","undirected",48,8
"3477",0.8,0.05,0.8,1,"pc","directed",48,8
"4477",1,0,1,0,"ges","undirected",48,8
"5477",0.8,0.2,0.5,4,"ges","directed",48,8
"6477",0.2,0,1,4,"arges","undirected",48,8
"7477",0.2,0.05,0.5,5,"arges","directed",48,8
"2487",1,0,1,0,"pc","undirected",49,8
"3487",1,0,1,0,"pc","directed",49,8
"4487",1,0,1,0,"ges","undirected",49,8
"5487",0.4,0.2,0.333333333333333,4,"ges","directed",49,8
"6487",0.2,0,1,4,"arges","undirected",49,8
"7487",0.2,0.05,0.5,5,"arges","directed",49,8
"2497",0.8,0.133333333333333,0.8,2,"pc","undirected",50,8
"3497",0.8,0.1,0.666666666666667,3,"pc","directed",50,8
"4497",0.8,0.133333333333333,0.8,2,"ges","undirected",50,8
"5497",0.6,0.2,0.428571428571429,5,"ges","directed",50,8
"6497",0.2,0,1,4,"arges","undirected",50,8
"7497",0.2,0.05,0.5,5,"arges","directed",50,8
"269",1,0.533333333333333,0.555555555555556,4,"pc","undirected",1,9
"369",0.8,0.4,0.333333333333333,8,"pc","directed",1,9
"469",1,0.533333333333333,0.555555555555556,4,"ges","undirected",1,9
"569",0.8,0.4,0.333333333333333,8,"ges","directed",1,9
"669",1,0.533333333333333,0.555555555555556,4,"arges","undirected",1,9
"769",0.8,0.4,0.333333333333333,8,"arges","directed",1,9
"2129",1,0.4,0.625,3,"pc","undirected",2,9
"3129",1,0.25,0.5,5,"pc","directed",2,9
"4129",1,0.4,0.625,3,"ges","undirected",2,9
"5129",1,0.25,0.5,5,"ges","directed",2,9
"6129",1,0.4,0.625,3,"arges","undirected",2,9
"7129",0.8,0.3,0.4,6,"arges","directed",2,9
"2229",1,0.133333333333333,0.833333333333333,1,"pc","undirected",3,9
"3229",1,0.05,0.833333333333333,1,"pc","directed",3,9
"4229",1,0.266666666666667,0.714285714285714,2,"ges","undirected",3,9
"5229",0.8,0.25,0.444444444444444,4,"ges","directed",3,9
"6229",1,0,1,0,"arges","undirected",3,9
"7229",1,0.15,0.625,3,"arges","directed",3,9
"2329",1,0.133333333333333,0.833333333333333,1,"pc","undirected",4,9
"3329",0.8,0.2,0.5,4,"pc","directed",4,9
"4329",1,0.4,0.625,3,"ges","undirected",4,9
"5329",0.8,0.3,0.4,6,"ges","directed",4,9
"6329",1,0.266666666666667,0.714285714285714,2,"arges","undirected",4,9
"7329",1,0.25,0.5,5,"arges","directed",4,9
"2429",1,0.266666666666667,0.714285714285714,2,"pc","undirected",5,9
"3429",1,0.45,0.357142857142857,7,"pc","directed",5,9
"4429",1,0.4,0.625,3,"ges","undirected",5,9
"5429",0.8,0.3,0.4,6,"ges","directed",5,9
"6429",1,0.4,0.625,3,"arges","undirected",5,9
"7429",0.8,0.3,0.4,6,"arges","directed",5,9
"2512",1,0.533333333333333,0.555555555555556,4,"pc","undirected",6,9
"3512",0.8,0.5,0.285714285714286,8,"pc","directed",6,9
"4512",1,0.4,0.625,3,"ges","undirected",6,9
"5512",0.8,0.3,0.4,5,"ges","directed",6,9
"6512",1,0.4,0.625,3,"arges","undirected",6,9
"7512",0.8,0.3,0.4,5,"arges","directed",6,9
"2610",1,0.266666666666667,0.714285714285714,2,"pc","undirected",7,9
"3610",0.4,0.25,0.285714285714286,5,"pc","directed",7,9
"4610",1,0.533333333333333,0.555555555555556,4,"ges","undirected",7,9
"5610",1,0.65,0.277777777777778,9,"ges","directed",7,9
"6610",1,0.4,0.625,3,"arges","undirected",7,9
"7610",0.8,0.3,0.4,5,"arges","directed",7,9
"278",1,0.666666666666667,0.5,5,"pc","undirected",8,9
"378",1,0.75,0.25,10,"pc","directed",8,9
"478",1,0.4,0.625,3,"ges","undirected",8,9
"578",1,0.55,0.3125,8,"ges","directed",8,9
"678",1,0.4,0.625,3,"arges","undirected",8,9
"778",1,0.55,0.3125,8,"arges","directed",8,9
"288",1,0.533333333333333,0.555555555555556,4,"pc","undirected",9,9
"388",1,0.35,0.416666666666667,7,"pc","directed",9,9
"488",1,0.533333333333333,0.555555555555556,4,"ges","undirected",9,9
"588",0.6,0.45,0.25,7,"ges","directed",9,9
"688",1,0.533333333333333,0.555555555555556,4,"arges","undirected",9,9
"788",0.6,0.45,0.25,7,"arges","directed",9,9
"298",1,0.266666666666667,0.714285714285714,2,"pc","undirected",10,9
"398",1,0.25,0.5,4,"pc","directed",10,9
"498",1,0.4,0.625,3,"ges","undirected",10,9
"598",1,0.35,0.416666666666667,6,"ges","directed",10,9
"698",1,0.133333333333333,0.833333333333333,1,"arges","undirected",10,9
"798",1,0.2,0.555555555555556,4,"arges","directed",10,9
"2108",1,0.4,0.625,3,"pc","undirected",11,9
"3108",0.8,0.2,0.5,4,"pc","directed",11,9
"4108",1,0.4,0.625,3,"ges","undirected",11,9
"5108",0.6,0.35,0.3,6,"ges","directed",11,9
"6108",1,0.4,0.625,3,"arges","undirected",11,9
"7108",0.6,0.35,0.3,6,"arges","directed",11,9
"21112",1,0.4,0.625,3,"pc","undirected",12,9
"31112",0.8,0.45,0.307692307692308,7,"pc","directed",12,9
"41112",1,0.4,0.625,3,"ges","undirected",12,9
"51112",1,0.55,0.3125,8,"ges","directed",12,9
"61112",1,0.266666666666667,0.714285714285714,2,"arges","undirected",12,9
"71112",1,0.45,0.357142857142857,7,"arges","directed",12,9
"21210",1,0.133333333333333,0.833333333333333,1,"pc","undirected",13,9
"31210",0.8,0.2,0.5,4,"pc","directed",13,9
"41210",1,0.266666666666667,0.714285714285714,2,"ges","undirected",13,9
"51210",1,0.45,0.357142857142857,7,"ges","directed",13,9
"61210",1,0.266666666666667,0.714285714285714,2,"arges","undirected",13,9
"71210",1,0.45,0.357142857142857,7,"arges","directed",13,9
"2138",1,0.4,0.625,3,"pc","undirected",14,9
"3138",0.6,0.5,0.230769230769231,8,"pc","directed",14,9
"4138",1,0.4,0.625,3,"ges","undirected",14,9
"5138",0.6,0.5,0.230769230769231,8,"ges","directed",14,9
"6138",1,0.4,0.625,3,"arges","undirected",14,9
"7138",0.6,0.5,0.230769230769231,8,"arges","directed",14,9
"2148",1,0.533333333333333,0.555555555555556,4,"pc","undirected",15,9
"3148",1,0.65,0.277777777777778,9,"pc","directed",15,9
"4148",1,0.533333333333333,0.555555555555556,4,"ges","undirected",15,9
"5148",1,0.65,0.277777777777778,9,"ges","directed",15,9
"6148",1,0.533333333333333,0.555555555555556,4,"arges","undirected",15,9
"7148",1,0.65,0.277777777777778,9,"arges","directed",15,9
"2158",1,0.533333333333333,0.555555555555556,4,"pc","undirected",16,9
"3158",0.6,0.45,0.25,7,"pc","directed",16,9
"4158",1,0.533333333333333,0.555555555555556,4,"ges","undirected",16,9
"5158",0.6,0.45,0.25,7,"ges","directed",16,9
"6158",1,0.533333333333333,0.555555555555556,4,"arges","undirected",16,9
"7158",0.6,0.45,0.25,7,"arges","directed",16,9
"2168",1,0.4,0.625,3,"pc","undirected",17,9
"3168",1,0.55,0.3125,8,"pc","directed",17,9
"4168",1,0.4,0.625,3,"ges","undirected",17,9
"5168",1,0.55,0.3125,8,"ges","directed",17,9
"6168",1,0.4,0.625,3,"arges","undirected",17,9
"7168",1,0.55,0.3125,8,"arges","directed",17,9
"2178",1,0.4,0.625,3,"pc","undirected",18,9
"3178",0.4,0.3,0.25,6,"pc","directed",18,9
"4178",1,0.4,0.625,3,"ges","undirected",18,9
"5178",0.4,0.4,0.2,7,"ges","directed",18,9
"6178",1,0.4,0.625,3,"arges","undirected",18,9
"7178",0.4,0.4,0.2,7,"arges","directed",18,9
"2188",1,0.266666666666667,0.714285714285714,2,"pc","undirected",19,9
"3188",1,0.1,0.714285714285714,2,"pc","directed",19,9
"4188",1,0.4,0.625,3,"ges","undirected",19,9
"5188",0.8,0.45,0.307692307692308,7,"ges","directed",19,9
"6188",1,0.4,0.625,3,"arges","undirected",19,9
"7188",0.8,0.45,0.307692307692308,7,"arges","directed",19,9
"2198",1,0.266666666666667,0.714285714285714,2,"pc","undirected",20,9
"3198",1,0.1,0.714285714285714,2,"pc","directed",20,9
"4198",1,0.4,0.625,3,"ges","undirected",20,9
"5198",0.4,0.4,0.2,7,"ges","directed",20,9
"6198",1,0.4,0.625,3,"arges","undirected",20,9
"7198",0.4,0.4,0.2,7,"arges","directed",20,9
"2208",1,0.266666666666667,0.714285714285714,2,"pc","undirected",21,9
"3208",0.8,0.15,0.571428571428571,3,"pc","directed",21,9
"4208",1,0.266666666666667,0.714285714285714,2,"ges","undirected",21,9
"5208",0.8,0.15,0.571428571428571,3,"ges","directed",21,9
"6208",1,0.133333333333333,0.833333333333333,1,"arges","undirected",21,9
"7208",0.8,0.1,0.666666666666667,2,"arges","directed",21,9
"22112",1,0.266666666666667,0.714285714285714,2,"pc","undirected",22,9
"32112",0.8,0.15,0.571428571428571,3,"pc","directed",22,9
"42112",1,0.4,0.625,3,"ges","undirected",22,9
"52112",1,0.4,0.384615384615385,6,"ges","directed",22,9
"62112",1,0.4,0.625,3,"arges","undirected",22,9
"72112",1,0.4,0.384615384615385,6,"arges","directed",22,9
"22210",1,0.4,0.625,3,"pc","undirected",23,9
"32210",0.8,0.2,0.5,4,"pc","directed",23,9
"42210",1,0.266666666666667,0.714285714285714,2,"ges","undirected",23,9
"52210",1,0.25,0.5,5,"ges","directed",23,9
"62210",1,0.133333333333333,0.833333333333333,1,"arges","undirected",23,9
"72210",1,0.2,0.555555555555556,4,"arges","directed",23,9
"2238",1,0.266666666666667,0.714285714285714,2,"pc","undirected",24,9
"3238",0.6,0.2,0.428571428571429,4,"pc","directed",24,9
"4238",1,0.133333333333333,0.833333333333333,1,"ges","undirected",24,9
"5238",1,0.2,0.555555555555556,4,"ges","directed",24,9
"6238",1,0,1,0,"arges","undirected",24,9
"7238",1,0.15,0.625,3,"arges","directed",24,9
"2248",1,0.133333333333333,0.833333333333333,1,"pc","undirected",25,9
"3248",1,0.05,0.833333333333333,1,"pc","directed",25,9
"4248",1,0.266666666666667,0.714285714285714,2,"ges","undirected",25,9
"5248",1,0.3,0.454545454545455,5,"ges","directed",25,9
"6248",1,0.266666666666667,0.714285714285714,2,"arges","undirected",25,9
"7248",1,0.3,0.454545454545455,5,"arges","directed",25,9
"2258",1,0.4,0.625,3,"pc","undirected",26,9
"3258",0.6,0.35,0.3,7,"pc","directed",26,9
"4258",1,0.533333333333333,0.555555555555556,4,"ges","undirected",26,9
"5258",0.8,0.5,0.285714285714286,8,"ges","directed",26,9
"6258",1,0.533333333333333,0.555555555555556,4,"arges","undirected",26,9
"7258",0.8,0.5,0.285714285714286,8,"arges","directed",26,9
"2268",1,0.4,0.625,3,"pc","undirected",27,9
"3268",0.6,0.35,0.3,6,"pc","directed",27,9
"4268",1,0.4,0.625,3,"ges","undirected",27,9
"5268",0.8,0.3,0.4,6,"ges","directed",27,9
"6268",1,0.4,0.625,3,"arges","undirected",27,9
"7268",0.8,0.3,0.4,6,"arges","directed",27,9
"2278",1,0.266666666666667,0.714285714285714,2,"pc","undirected",28,9
"3278",0.6,0.2,0.428571428571429,4,"pc","directed",28,9
"4278",1,0.133333333333333,0.833333333333333,1,"ges","undirected",28,9
"5278",1,0.25,0.5,4,"ges","directed",28,9
"6278",1,0,1,0,"arges","undirected",28,9
"7278",1,0.15,0.625,3,"arges","directed",28,9
"2288",1,0.266666666666667,0.714285714285714,2,"pc","undirected",29,9
"3288",0.8,0.2,0.5,4,"pc","directed",29,9
"4288",1,0.4,0.625,3,"ges","undirected",29,9
"5288",1,0.25,0.5,5,"ges","directed",29,9
"6288",1,0.4,0.625,3,"arges","undirected",29,9
"7288",1,0.25,0.5,5,"arges","directed",29,9
"2298",1,0.4,0.625,3,"pc","undirected",30,9
"3298",1,0.35,0.416666666666667,6,"pc","directed",30,9
"4298",1,0.266666666666667,0.714285714285714,2,"ges","undirected",30,9
"5298",1,0.3,0.454545454545455,5,"ges","directed",30,9
"6298",1,0.133333333333333,0.833333333333333,1,"arges","undirected",30,9
"7298",1,0.25,0.5,4,"arges","directed",30,9
"2308",1,0.4,0.625,3,"pc","undirected",31,9
"3308",0.8,0.3,0.4,5,"pc","directed",31,9
"4308",1,0.4,0.625,3,"ges","undirected",31,9
"5308",0.8,0.3,0.4,5,"ges","directed",31,9
"6308",1,0.266666666666667,0.714285714285714,2,"arges","undirected",31,9
"7308",0.8,0.2,0.5,3,"arges","directed",31,9
"23112",1,0.266666666666667,0.714285714285714,2,"pc","undirected",32,9
"33112",0.4,0.25,0.285714285714286,5,"pc","directed",32,9
"43112",1,0.4,0.625,3,"ges","undirected",32,9
"53112",0.8,0.3,0.4,5,"ges","directed",32,9
"63112",1,0.4,0.625,3,"arges","undirected",32,9
"73112",1,0.4,0.384615384615385,6,"arges","directed",32,9
"23210",1,0.533333333333333,0.555555555555556,4,"pc","undirected",33,9
"33210",0.6,0.55,0.214285714285714,9,"pc","directed",33,9
"43210",1,0.4,0.625,3,"ges","undirected",33,9
"53210",1,0.55,0.3125,8,"ges","directed",33,9
"63210",1,0.4,0.625,3,"arges","undirected",33,9
"73210",1,0.55,0.3125,8,"arges","directed",33,9
"2338",1,0.533333333333333,0.555555555555556,4,"pc","undirected",34,9
"3338",1,0.35,0.416666666666667,7,"pc","directed",34,9
"4338",1,0.533333333333333,0.555555555555556,4,"ges","undirected",34,9
"5338",0.6,0.45,0.25,7,"ges","directed",34,9
"6338",0.8,0.533333333333333,0.5,5,"arges","undirected",34,9
"7338",0.4,0.4,0.2,8,"arges","directed",34,9
"2348",1,0.133333333333333,0.833333333333333,1,"pc","undirected",35,9
"3348",0.4,0.2,0.333333333333333,4,"pc","directed",35,9
